source,target,relationship,properties
Phala Ghrta,Haritaki API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""171037-1"", ""quantity"": ""Pericarp"", ""pharmacopoeia_ref"": ""Terminalia chebula""}"
Phala Ghrta,Bibhitaka API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""170982-1"", ""quantity"": ""Pericarp"", ""pharmacopoeia_ref"": ""Terminalia bellirica""}"
Phala Ghrta,Amalaki API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""345266-1"", ""quantity"": ""Pericarp"", ""pharmacopoeia_ref"": ""Emblica officinalis""}"
Phala Ghrta,Sharkara API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""NA"", ""quantity"": ""NA"", ""pharmacopoeia_ref"": ""Sugar""}"
Phala Ghrta,Vaca API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""84009-1"", ""quantity"": ""Rhizome"", ""pharmacopoeia_ref"": ""Acorus calamus""}"
Phala Ghrta,Haridra API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""796451-1"", ""quantity"": ""Rhizome"", ""pharmacopoeia_ref"": ""Curcuma longa""}"
Phala Ghrta,Daru haridra API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""106428-1"", ""quantity"": ""Stem"", ""pharmacopoeia_ref"": ""Berberis aristata""}"
Phala Ghrta,Madhuka (Yashti API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""496941-1"", ""quantity"": ""Root"", ""pharmacopoeia_ref"": ""Glycyrrhiza glabra""}"
Phala Ghrta,Meda API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""531271-1"", ""quantity"": ""Rt.Tr."", ""pharmacopoeia_ref"": ""Asparagus racemosus""}"
Phala Ghrta,Dipyaka (Yavani API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""849765-1"", ""quantity"": ""Fruit"", ""pharmacopoeia_ref"": ""Trachyspermum ammi""}"
Phala Ghrta,Katurohini (Katuka API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""808408-1"", ""quantity"": ""Rz./ Rt."", ""pharmacopoeia_ref"": ""Picrorhiza kurroa""}"
Phala Ghrta,Payasya (Kshira vidari API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""268777-1"", ""quantity"": ""Rt.Tr."", ""pharmacopoeia_ref"": ""Ipomoea digitata""}"
Phala Ghrta,Hingu API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""842277-1"", ""quantity"": ""Exudate"", ""pharmacopoeia_ref"": ""Ferula foetida""}"
Phala Ghrta,Kakoli API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""821709-1"", ""quantity"": ""Root"", ""pharmacopoeia_ref"": ""Withania somnifera""}"
Phala Ghrta,Vajigandha (Asvagandha API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""821709-1"", ""quantity"": ""Root"", ""pharmacopoeia_ref"": ""Withania somnifera""}"
Phala Ghrta,Shatavari API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""531271-1"", ""quantity"": ""Rt.Tr."", ""pharmacopoeia_ref"": ""Asparagus racemosus""}"
Phala Ghrta,Ghrta (Goghrta API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""NA"", ""quantity"": ""NA"", ""pharmacopoeia_ref"": ""Clarified butter from cow’s milk""}"
Phala Ghrta,Kshira (Godugdha API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""NA"", ""quantity"": ""NA"", ""pharmacopoeia_ref"": ""Cow’s milk""}"
Phala Ghrta,7833,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Yoni Vikara""}"
Phala Ghrta,4302,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shukra Vikara""}"
Phala Ghrta,4298,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Vandhyatva""}"
Phalatrikadi Kwatha,1179,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pandu""}"
Phalatrikadi Kwatha,6527,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Bhagandara""}"
Phalatrikadi Kwatha,5701;13737,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Abhishyanda""}"
Phalatrikadi Kwatha,20710,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsha""}"
Phalatrikadi Kwatha,3476,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Adhimantha""}"
Phalatrikadi Kwatha,2221,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Abhishyanda""}"
Phalatrikadi Kwatha,4361;21210,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kamala""}"
Phalatrikadi Kwatha,3266,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Parikartika""}"
Phalatrikadi Kwatha,1397;21506,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Jalodara""}"
Phalatrikadi Kwatha,5644,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sthaulya""}"
Phalatrikadi Kwatha,3870,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsha""}"
Phalatrikadi Kwatha,2475,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Madhumeha""}"
Phalatrikadi kwatha churna,3245;21623,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Jvara""}"
Phalatrikadi kwatha churna,5155;15856,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Phalatrikadi kwatha churna,7914;20962,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Phalatrikadi kwatha churna,2680,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amlapitta""}"
Phalatrikadi kwatha churna,10404,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Phalatrikadi kwatha churna,11232;20930,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amlapitta""}"
Pinda taila,1757,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Daha""}"
Pingakhanda,21081,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Trishna""}"
Pingakhanda,3870,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Raktarsha""}"
Pingakhanda,2245,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Vistambha""}"
Pingakhanda,5677,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shukrakshaya""}"
Pingakhanda,5155;15856,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Pingakhanda,7585,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Yakshma""}"
Pingakhanda,4298,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Vandhyaroga""}"
Pingakhanda,9,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Garbhadosha""}"
Pingakhanda,2680,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amlapitta""}"
Pingakhanda,7914;20962,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Pingakhanda,11232;20930,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Amlapitta""}"
Pingakhanda,2674,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Agnimandya""}"
Pingakhanda,1179,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pandu""}"
Pingakhanda,7206;21588,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Murccha""}"
Pingakhanda,9945;9946,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pradara""}"
Pingakhanda,21463,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Yakshma""}"
Pingakhanda,247,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Daurbalya""}"
Pingakhanda,10404,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Pingakhanda,21602,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Murccha""}"
Pingakhanda,21358,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shula""}"
Pingakhanda,2675,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajirna""}"
Pingakhanda,20991,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ajirna""}"
Piplayadi Ghrta,20710,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsha""}"
Piplayadi Ghrta,3870,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsha""}"
Pippali,1179,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pandu""}"
Pippali,2282;21170,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pittaja Kasa""}"
Pippali (roasted),2282;21170,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kasa""}"
Pippalimoola Curna,5755;17439,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sandhivata""}"
Pippalimoola Curna,7071,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Katigraha""}"
Pippalyadi ghrita,7644,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ksaya""}"
Pippalyadi ghrita,11177,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Halimaka""}"
Pippalyadi ghrita,4361;21210,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Halimaka""}"
Pippalyadi ghrita,1259;21450,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arocaka""}"
Pippalyadi ghrita,7914;20962,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Pippalyadi ghrita,10404,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Pippalyadi ghrita,2282;21170,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kasa""}"
Pippalyadi ghrita,5155;15856,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Pippalyadi ghrita,3245;21623,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Jvara""}"
Pippalyadi taila,11662;21295,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Mutrakrcchra""}"
Pippalyadi taila,20710,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsa""}"
Pippalyadi taila,21329,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Anaha""}"
Pippalyadi taila,3870,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsa""}"
Pippalyadi taila,2245,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Malabandha""}"
Pippalyadyasava,Pippala API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""682031-1"", ""quantity"": ""Fruit"", ""pharmacopoeia_ref"": ""Piper longum""}"
Pippalyadyasava,Marica API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""682369-1"", ""quantity"": ""Fruit"", ""pharmacopoeia_ref"": ""Piper nigrum""}"
Pippalyadyasava,Haridra API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""796451-1"", ""quantity"": ""Rz"", ""pharmacopoeia_ref"": ""Curcuma longa""}"
Pippalyadyasava,Cavya API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""680861-1"", ""quantity"": ""Rhizome"", ""pharmacopoeia_ref"": ""Piper chaba""}"
Pippalyadyasava,Citraka API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""687109-1"", ""quantity"": ""Root"", ""pharmacopoeia_ref"": ""Plumbago zeylanica""}"
Pippalyadyasava,Ghana (Musta API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""305797-1"", ""quantity"": ""Root"", ""pharmacopoeia_ref"": ""Cyperus rotundus""}"
Pippalyadyasava,Vidanga API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""588451-1"", ""quantity"": ""Fruit"", ""pharmacopoeia_ref"": ""Embelia ribes""}"
Pippalyadyasava,Kramuka (Puga API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""664107-1"", ""quantity"": ""Sd"", ""pharmacopoeia_ref"": ""Areca catechu""}"
Pippalyadyasava,Lodhra API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""827267-1"", ""quantity"": ""Stem bark"", ""pharmacopoeia_ref"": ""Symplocos racemosa""}"
Pippalyadyasava,Patha API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""59219-2"", ""quantity"": ""Rt.*/Pl."", ""pharmacopoeia_ref"": ""Cissampelos pareira""}"
Pippalyadyasava,Dhatra (Amalaka API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""345266-1"", ""quantity"": ""Pericarp"", ""pharmacopoeia_ref"": ""Emblica officinale""}"
Pippalyadyasava,Elavaluka API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""30093848-2"", ""quantity"": ""Stem bark"", ""pharmacopoeia_ref"": ""Prunus avium""}"
Pippalyadyasava,Usara API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""264824-2"", ""quantity"": ""Root"", ""pharmacopoeia_ref"": ""Vetiveria zizanioides""}"
Pippalyadyasava,Candana (Shveta Candana API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""780592-1"", ""quantity"": ""Stem bark"", ""pharmacopoeia_ref"": ""Santalum album""}"
Pippalyadyasava,Kustha API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""242389-1"", ""quantity"": ""Root"", ""pharmacopoeia_ref"": ""Saussurea lappa""}"
Pippalyadyasava,Lavanga API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""601421-1"", ""quantity"": ""Fl.bd"", ""pharmacopoeia_ref"": ""Syzygium aromaticum""}"
Pippalyadyasava,Tagara API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""860307-1"", ""quantity"": ""Rhizome"", ""pharmacopoeia_ref"": ""Valeriana wallichii""}"
Pippalyadyasava,JatamaÆsa API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""859418-1"", ""quantity"": ""Rhizome"", ""pharmacopoeia_ref"": ""Nardostachys jatamansi""}"
Pippalyadyasava,Tvak API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""1166647-2"", ""quantity"": ""Stem bark"", ""pharmacopoeia_ref"": ""Cinnamomum zeylanicum""}"
Pippalyadyasava,Ela (Suksmaila API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""796556-1"", ""quantity"": ""Seed"", ""pharmacopoeia_ref"": ""Elettaria cardamomum""}"
Pippalyadyasava,Patra (Tejapatra API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""463718-1"", ""quantity"": ""Leaf"", ""pharmacopoeia_ref"": ""Cinnamomum tamala""}"
Pippalyadyasava,Priyangu API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""861393-1"", ""quantity"": ""Flower"", ""pharmacopoeia_ref"": ""Callicarpa macrophylla""}"
Pippalyadyasava,Nagakesara API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""428832-1"", ""quantity"": ""Stamens"", ""pharmacopoeia_ref"": ""Mesua ferrea""}"
Pippalyadyasava,Dhataka API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""554290-1"", ""quantity"": ""Flower"", ""pharmacopoeia_ref"": ""Woodfordia fruticosa""}"
Pippalyadyasava,Draksa API,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""30478388-2"", ""quantity"": ""Dr.Fr."", ""pharmacopoeia_ref"": ""Vitis vinifera Linn""}"
Pippalyadyasava,7644,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Ksaya""}"
Pippalyadyasava,21488,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Gulma""}"
Pippalyadyasava,20710,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsa""}"
Pippalyadyasava,4952,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Grahana""}"
Pippalyadyasava,3870,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Arsa""}"
Pippalyadyasava,2767;21464,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Karsya""}"
Pippalyadyasava,1179,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pandu""}"
Pipplayasava,1412,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kaphadhika Tamaka Swasa""}"
Pitaka Curna,3644,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Dantaveshtaka""}"
Pitaka Curna,3840,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Dantaveshtaka""}"
Piyushavalli rasa,2245,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Vibandha""}"
Piyushavalli rasa,1259;21450,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Aruchi""}"
Piyushavalli rasa,4150,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pliha Vruddhi""}"
Piyushavalli rasa,20978,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Raktaatisara""}"
Piyushavalli rasa,5429;20968,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Hillasa""}"
Piyushavalli rasa,7063;20954,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pliha Vruddhi""}"
Piyushavalli rasa,6421,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Sutika Roga""}"
Piyushavalli rasa,10404,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Piyushavalli rasa,4305;21103,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shotha""}"
Piyushavalli rasa,2504,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Atisara""}"
Piyushavalli rasa,7914;20962,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Piyushavalli rasa,3245;21623,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Jvara""}"
Piyushavalli rasa,21488,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Gulma""}"
Piyushavalli rasa,4952,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Grahani""}"
Piyushavalli rasa,2666,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Asrgdara""}"
Piyushavalli rasa,4361;21210,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kamala""}"
Piyushavalli rasa,21274,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Prameha""}"
Piyushavalli rasa,5155;15856,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Piyushavalli rasa,2637;2638,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Atisara""}"
Piyushavalli rasa,5177;21572,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Asrgdara""}"
Piyushavalli rasa,1179,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Pandu""}"
Plihari Vatika,Sahasara (Kumara (API)),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""529240-1"", ""quantity"": ""Fresh Lf. P.∗"", ""pharmacopoeia_ref"": ""Aloe barbadensis""}"
Plihari Vatika,Abhra (Abhraka Bhasma (API)),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""NA"", ""quantity"": ""–"", ""pharmacopoeia_ref"": ""Calcined Mica""}"
Plihari Vatika,Kasasa (Kasasa API) - Shuddha,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""NA"", ""quantity"": ""–"", ""pharmacopoeia_ref"": ""Green vitreol""}"
Plihari Vatika,Lasuna (Rasona API),INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""528796-1"", ""quantity"": ""Bulb"", ""pharmacopoeia_ref"": ""Allium sativum""}"
Plihari Vatika,Dronapuspa API - Svarasa,INGREDIENT_OF,"{""ingredient_name"": """", ""part_used"": ""449332-1"", ""quantity"": ""Juice of fresh Pl."", ""pharmacopoeia_ref"": ""Leucas cephalotes""}"
Plihari Vatika,21081,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Trisna""}"
Plihari Vatika,7914;20962,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Plihari Vatika,7543;21080,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kampa""}"
Plihari Vatika,4305;21103,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shotha""}"
Plihari Vatika,2282;21170,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Kasa""}"
Plihari Vatika,10404,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Chardi""}"
Plihari Vatika,1757,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Daha""}"
Plihari Vatika,1412,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shvasa""}"
Plihari Vatika,2678;21184,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Shvasa""}"
Plihari Vatika,2674,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Agnimandya""}"
Plihari Vatika,7869;21606,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Bhrama""}"
Plihari Vatika,21488,ASSOCIATED_WITH,"{""Source_db"": ""Ayurvedic Standard Treatment Guidelines"", ""Ayurvedic_term"": ""Gulma""}"
