id,label,name,attributes
Arkadi kwatha churna,Formulation,Arkadi kwatha churna,"{""dosage"": ""10-20g"", ""preparation_method"": """"}"
Arogyavardhini Rasa,Formulation,Arogyavardhini Rasa,"{""dosage"": ""250-500 mg; 125-250 mg; 250–500 mg (1-2 Vati); 1-2 Vati; 1-2 tablet; 1-2 Vati (500 mg); 1-2 Vati/ 500 mg"", ""preparation_method"": """"}"
Arshakuthara Rasa,Formulation,Arshakuthara Rasa,"{""dosage"": ""250 mg to 500 mg"", ""preparation_method"": """"}"
Arshoghni vati,Formulation,Arshoghni vati,"{""dosage"": ""125-500mg"", ""preparation_method"": """"}"
Asanabilvadi Taila,Formulation,Asanabilvadi Taila,"{""dosage"": ""External use - for Abhyanga (massage on whole body) Nasya - 2 to 4 drops per nostril once or twice a day Eye drops - 2 to 4 drops once or twice a day Ear drops - 5 to 10 drops once or twice a day"", ""preparation_method"": """"}"
Ashmarihara Kwatha,Formulation,Ashmarihara Kwatha,"{""dosage"": ""12-24 ml"", ""preparation_method"": """"}"
Ashmarihara kasaya churna,Formulation,Ashmarihara kasaya churna,"{""dosage"": ""48g in divided doses in a day"", ""preparation_method"": """"}"
Ashoka Siddha Kshirapaka,Formulation,Ashoka Siddha Kshirapaka,"{""dosage"": ""20 ml"", ""preparation_method"": """"}"
Ashoka ghrita,Formulation,Ashoka ghrita,"{""dosage"": ""12 g"", ""preparation_method"": """"}"
Ashokarista,Formulation,Ashokarista,"{""dosage"": ""15 – 30 ml orally with equal amount of water after meals twice a day."", ""preparation_method"": """"}"
Ashtangalavana churna,Formulation,Ashtangalavana churna,"{""dosage"": ""3-5g"", ""preparation_method"": """"}"
Ashtangavaleha,Formulation,Ashtangavaleha,"{""dosage"": ""3 to 5 g daily in divided doses."", ""preparation_method"": """"}"
Ashtavargam Kashaya,Formulation,Ashtavargam Kashaya,"{""dosage"": ""12-24 ml"", ""preparation_method"": """"}"
Ashwagandha Curna,Formulation,Ashwagandha Curna,"{""dosage"": ""3-5 gm"", ""preparation_method"": """"}"
Ashwagandha taila,Formulation,Ashwagandha taila,"{""dosage"": ""30-50ml for Anuvasana Basti, Abhyangartha"", ""preparation_method"": """"}"
Ashwagandhadi lehya,Formulation,Ashwagandhadi lehya,"{""dosage"": ""6 to 12 g"", ""preparation_method"": """"}"
Ashwagandharista,Formulation,Ashwagandharista,"{""dosage"": ""12 to 24 ml"", ""preparation_method"": """"}"
Astakshari gutika,Formulation,Astakshari gutika,"{""dosage"": ""125 mg"", ""preparation_method"": """"}"
Astavarga kwatha churna,Formulation,Astavarga kwatha churna,"{""dosage"": ""48 g"", ""preparation_method"": """"}"
Asthisandhanaka lepa,Formulation,Asthisandhanaka lepa,"{""dosage"": ""Lepa"", ""preparation_method"": """"}"
Asvagandhadyarista,Formulation,Asvagandhadyarista,"{""dosage"": ""15 – 30 ml orally with equal amount of water after meals twice a day."", ""preparation_method"": """"}"
Ativisha Curna,Formulation,Ativisha Curna,"{""dosage"": ""125-250 mg"", ""preparation_method"": """"}"
Avalgujadi lepa,Formulation,Avalgujadi lepa,"{""dosage"": ""Lepa"", ""preparation_method"": """"}"
Avipattikara Curna,Formulation,Avipattikara Curna,"{""dosage"": ""10 g daily in divided doses."", ""preparation_method"": """"}"
Avittoladi bhasma (kshara),Formulation,Avittoladi bhasma (kshara),"{""dosage"": ""As directed by physician"", ""preparation_method"": """"}"
Ayaskrti,Formulation,Ayaskrti,"{""dosage"": ""12 to 24 ml"", ""preparation_method"": """"}"
Ayush 64,Formulation,Ayush 64,"{""dosage"": ""4 Tab (500 mg)"", ""preparation_method"": """"}"
